channel1,channel2
2.08,2.08
3.94,3.94
6.03,6.03
7.59,7.59
8.15,8.15
8.19,8.19
8.24,8.24
8.28,8.28
8.57,8.57
9.61,9.61
11.13,11.13
12.89,12.89
14.64,14.64
15.61,15.61
16.57,16.57
18.03,18.03
20.21,20.21
23.13,23.13
26.26,26.26
28.86,28.86
30.18,30.18
29.73,29.73
27.54,27.54
24.36,24.36
21.96,21.96
22.32,22.32
25.18,25.18
29.51,29.51
33.3,33.3
35.29,35.29
35.01,35.01
32.73,32.73
29.96,29.96
28.22,28.22
27.98,27.98
29.75,29.75
32.74,32.74
35.45,35.45
37.13,37.13
37.3,37.3
36.45,36.45
34.85,34.85
32.77,32.77
31.2,31.2
30.89,30.89
31.57,31.57
32.5,32.5
32.16,32.16
30.32,30.32
27.99,27.99
26.69,26.69
27.13,27.13
29.57,29.57
32.23,32.23
33.62,33.62
32.73,32.73
30.35,30.35
27.74,27.74
26.15,26.15
25.56,25.56
25.98,25.98
26.89,26.89
27.79,27.79
28.42,28.42
28.8,28.8
29.17,29.17
29.28,29.28
28.88,28.88
27.98,27.98
26.59,26.59
24.96,24.96
23.34,23.34
21.72,21.72
20.12,20.12
18.29,18.29
16.71,16.71
15.4,15.4
14.09,14.09
13.05,13.05
13.02,13.02
14.23,14.23
16.43,16.43
18.61,18.61
19.76,19.76
19.65,19.65
18.54,18.54
17.69,17.69
17.84,17.84
18.48,18.48
18.62,18.62
18.01,18.01
17.64,17.64
17.53,17.53
17.17,17.17
16.81,16.81
15.94,15.94
15.09,15.09
14.24,14.24
12.89,12.89
11.05,11.05
8.98,8.98
7.68,7.68
7.89,7.89
9.85,9.85
11.28,11.28
11.45,11.45
9.87,9.87
8.05,8.05
6.5,6.5
5.46,5.46
4.67,4.67
4.65,4.65
5.62,5.62
6.84,6.84
6.79,6.79
4.99,4.99
1.71,1.71
-1.8,-1.8
-4.77,-4.77
-6.96,-6.96
-7.63,-7.63
-6.55,-6.55
-4.47,-4.47
-2.16,-2.16
-1.38,-1.38
-2.6,-2.6
-4.55,-4.55
-6.24,-6.24
-6.67,-6.67
-6.59,-6.59
-6.75,-6.75
-6.67,-6.67
-7.08,-7.08
-7.74,-7.74
-9.15,-9.15
-11.29,-11.29
-13.15,-13.15
-13.75,-13.75
-12.34,-12.34
-10.2,-10.2
-9.07,-9.07
-9.45,-9.45
-11.07,-11.07
-12.68,-12.68
-13.52,-13.52
-13.6,-13.6
-13.68,-13.68
-14.51,-14.51
-16.07,-16.07
-17.87,-17.87
-19.15,-19.15
-20.17,-20.17
-20.42,-20.42
-20.17,-20.17
-19.42,-19.42
-18.67,-18.67
-18.67,-18.67
-19.93,-19.93
-21.41,-21.41
-22.63,-22.63
-22.84,-22.84
-22.54,-22.54
-21.74,-21.74
-20.7,-20.7
-19.66,-19.66
-19.62,-19.62
-20.59,-20.59
-22.04,-22.04
-23.23,-23.23
-23.9,-23.9
-24.31,-24.31
-24.72,-24.72
-24.87,-24.87
-23.76,-23.76
-21.66,-21.66
-18.82,-18.82
-16.26,-16.26
-15.22,-15.22
-15.93,-15.93
-18.14,-18.14
-20.82,-20.82
-22.73,-22.73
-23.12,-23.12
-21.24,-21.24
-17.88,-17.88
-14.8,-14.8
-13.5,-13.5
-13.95,-13.95
-14.66,-14.66
-14.09,-14.09
-12.79,-12.79
-11.99,-11.99
-12.7,-12.7
-14.41,-14.41
-16.59,-16.59
-18.25,-18.25
-19.14,-19.14
-19.02,-19.02
-18.16,-18.16
-16.29,-16.29
-14.94,-14.94
-13.85,-13.85
-13.52,-13.52
-13.19,-13.19
-12.36,-12.36
-11.78,-11.78
-11.21,-11.21
-11.15,-11.15
-10.83,-10.83
-10.76,-10.76
-11.44,-11.44
-13.62,-13.62
-17.02,-17.02
-19.88,-19.88
-20.73,-20.73
-19.3,-19.3
-16.14,-16.14
-13.26,-13.26
-11.39,-11.39
-10.55,-10.55
-10.96,-10.96
-12.12,-12.12
-13.76,-13.76
-14.88,-14.88
-15.24,-15.24
-14.35,-14.35
-12.97,-12.97
-11.09,-11.09
