channel1,channel2
-3.13,-3.13
-2.61,-2.61
-2.34,-2.34
-2.07,-2.07
-1.55,-1.55
-1.29,-1.29
-1.53,-1.53
-2.26,-2.26
-2.74,-2.74
-2.72,-2.72
-2.19,-2.19
-2.17,-2.17
-2.15,-2.15
-2.13,-2.13
-1.61,-1.61
-0.59,-0.59
0.17,0.17
0.42,0.42
0.17,0.17
-0.08,-0.08
-0.58,-0.58
-1.07,-1.07
-2.06,-2.06
-2.79,-2.79
-2.76,-2.76
-1.48,-1.48
0.28,0.28
1.78,1.78
2.52,2.52
2.75,2.75
2.73,2.73
2.21,2.21
1.19,1.19
0.43,0.43
0.43,0.43
0.42,0.42
-0.08,-0.08
-1.08,-1.08
-2.07,-2.07
-2.29,-2.29
-1.52,-1.52
-0.01,-0.01
1.25,1.25
1.49,1.49
1.48,1.48
1.72,1.72
1.7,1.7
1.69,1.69
1.42,1.42
1.41,1.41
1.4,1.4
1.14,1.14
0.63,0.63
-0.38,-0.38
-0.88,-0.88
-0.62,-0.62
0.64,0.64
1.88,1.88
2.62,2.62
3.09,3.09
3.31,3.31
3.03,3.03
2.75,2.75
2.22,2.22
2.2,2.2
3.18,3.18
4.15,4.15
4.6,4.6
4.06,4.06
3.26,3.26
2.98,2.98
3.2,3.2
2.66,2.66
0.63,0.63
-2.13,-2.13
-4.62,-4.62
-6.09,-6.09
-6.79,-6.79
-6.98,-6.98
-6.42,-6.42
-5.36,-5.36
-3.81,-3.81
-2.03,-2.03
-1.01,-1.01
0.25,0.25
1.74,1.74
3.73,3.73
5.19,5.19
5.64,5.64
5.09,5.09
4.54,4.54
3.99,3.99
3.7,3.7
2.66,2.66
1.38,1.38
0.36,0.36
-0.15,-0.15
0.1,0.1
0.09,0.09
0.09,0.09
0.33,0.33
1.57,1.57
3.05,3.05
4.26,4.26
4.72,4.72
4.42,4.42
3.62,3.62
1.82,1.82
-0.45,-0.45
-2.46,-2.46
-3.7,-3.7
-3.92,-3.92
-3.89,-3.89
-4.61,-4.61
-6.58,-6.58
-9.28,-9.28
-11.94,-11.94
-14.34,-14.34
-16.71,-16.71
-19.3,-19.3
-22.62,-22.62
-26.16,-26.16
-29.41,-29.41
-32.12,-32.12
-33.81,-33.81
-34.72,-34.72
-34.87,-34.87
-34.77,-34.77
-35.66,-35.66
-37.53,-37.53
-39.64,-39.64
-40.96,-40.96
-40.27,-40.27
-38.34,-38.34
-36.16,-36.16
-34.24,-34.24
-31.84,-31.84
-29.21,-29.21
-26.34,-26.34
-23.5,-23.5
-20.93,-20.93
-17.63,-17.63
-13.36,-13.36
-8.13,-8.13
-2.19,-2.19
3.2,3.2
7.53,7.53
10.33,10.33
12.34,12.34
12.59,12.59
11.83,11.83
11.08,11.08
11.58,11.58
13.83,13.83
17.3,17.3
20.99,20.99
25.39,25.39
29.75,29.75
34.07,34.07
37.09,37.09
38.82,38.82
39.29,39.29
39.74,39.74
40.44,40.44
41.62,41.62
42.79,42.79
43.68,43.68
45.07,45.07
46.18,46.18
46.28,46.28
45.37,45.37
44.96,44.96
45.79,45.79
48.37,48.37
51.16,51.16
53.17,53.17
53.15,53.15
51.62,51.62
49.1,49.1
45.85,45.85
43.12,43.12
41.15,41.15
39.95,39.95
39.76,39.76
40.05,40.05
40.6,40.6
40.38,40.38
40.4,40.4
40.42,40.42
40.93,40.93
41.69,41.69
42.42,42.42
42.9,42.9
43.61,43.61
43.32,43.32
41.76,41.76
37.97,37.97
33.2,33.2
29.23,29.23
27.53,27.53
27.35,27.35
27.91,27.91
27.97,27.97
26.77,26.77
24.07,24.07
20.9,20.9
17.75,17.75
14.88,14.88
13.54,13.54
12.95,12.95
12.37,12.37
11.04,11.04
8.72,8.72
6.17,6.17
4.39,4.39
2.63,2.63
0.64,0.64
-2.09,-2.09
-4.04,-4.04
-5.22,-5.22
-5.4,-5.4
-5.07,-5.07
-4.49,-4.49
-2.67,-2.67
0.89,0.89
5.42,5.42
9.9,9.9
13.34,13.34
16.0,16.0
18.12,18.12
19.98,19.98
21.32,21.32
22.39,22.39
23.95,23.95
25.24,25.24
25.52,25.52
24.54,24.54
22.31,22.31
20.1,20.1
17.91,17.91
15.49,15.49
10.83,10.83
3.72,3.72
-4.08,-4.08
-11.31,-11.31
-16.96,-16.96
-21.07,-21.07
-24.88,-24.88
-27.91,-27.91
-30.16,-30.16
-31.87,-31.87
-33.32,-33.32
-34.51,-34.51
-34.67,-34.67
-32.83,-32.83
-29.74,-29.74
-26.69,-26.69
-24.91,-24.91
-24.38,-24.38
-24.12,-24.12
-23.59,-23.59
-23.33,-23.33
-23.8,-23.8
-25.77,-25.77
-27.98,-27.98
-30.15,-30.15
-31.8,-31.8
-33.68,-33.68
-35.54,-35.54
-36.88,-36.88
-37.7,-37.7
-38.75,-38.75
-40.79,-40.79
-44.3,-44.3
-48.53,-48.53
-51.71,-51.71
-53.61,-53.61
-54.23,-54.23
-53.33,-53.33
-51.19,-51.19
-47.55,-47.55
-44.2,-44.2
-41.86,-41.86
-40.79,-40.79
-39.73,-39.73
